question,answer,
"Một vật dao động điều hòa với biên độ A = 5cm, Trong 10 giây vật thực hiện được 20 dao động. Xác định phương trình dao động của vật biết rằng tại thời điểm ban đầu vật tại ví trí cân bằng theo chiều dương.","Phương trình dao động của vật có dạng: x = A.cos(ωt + φ) cm
Trong đó:
A = 5 cm
f = N/t = 20/10 = 2 Hz → ω = 2πf = 4π (rad/s).
Tại t = 0 s vật đang ở vị trí cân bằng theo chiều dương: x = 5cosφ = 0 => φ = ±π/2. Ta chọn φ = -π/2 (vì v > 0, v và φ luôn ngược dấu nhau)
Phương trình dao động của vật là: x = 5cos(4πt - π/2) cm",
"Một vật dao động điều hòa trên quỹ đạo dài 6cm, Biết cứ 2s vật thực hiện được một dao động, tại thời điểm ban đầu vật đang ở vị trí biên dương. Xác định phương trình dao động của vật.","Phương trình dao động của vật có dạng: x = A cos(ωt + φ) cm
Trong đó:
A = L/2 = 3cm.
T = 2 s
ω = 2π/T = π (rad/s).
Tại t = 0s vật đang ở vị trí biên dương: x = 3cosφ = 3 => φ = 0
Phương trình dao động của vật là: x = 3cos(πt) cm",
Một vật dao động điều hòa với vận tốc khi đi qua vị trí cân bằng là v = 20cm/s. Khi vật đến vị trí biên thì có giá trị của gia tốc là a = 200 cm/s^2. Chọn gốc thời gian là lúc vận tốc của vật đạt giá trị cực đại theo chiều dương,"Phương trình dao động có dạng: x = A cos(ωt + φ) cm
Trong đó:
vmax = A.ω = 20 cm/s
amax = A.ω^2 = 200 cm/^2
ω = amax/vmax = 10 (rad/s)
A = vmax/ω = 2 (cm)
Tại t = 0 s vật có vận tốc cực đại theo chiều dương (vật ở vị trí cân bằng):
=> cosφ = 0 => φ = ±π/2. Ta chọn φ = -π/2 
*Lưu ý: φ và v luôn ngược dấu nhau, vì v > 0 nên ta chọn φ < 0
Vậy phương trình dao động là: x = 2cos(10t - π/2) cm.",
"Một vật dao động điều hòa với tần số góc 10π rad/s, tại thời điểm t = 0 vật đi qua vị trí có li độ x = 2√2 cm thì vận tốc của vật là 20√2π cm/s. Xác định phương trình dao động của vật?","
Áp dụng hệ thức độc lập thời gian:
A = √(x^2 + v^2/ω^2) = 4 (cm)
Tại t = 0, x = 4cosφ = 2√2 => φ = ±π/4
Lúc này vật có vận tốc v = 20√2π > 0 => φ < 0. Ta chọn φ = -π/4
Vậy phương trình dao động là: x = 4cos(10πt - π/4) cm.
*Lưu ý: φ và v luôn ngược dấu nhau",
"Một chất điểm dao động điều hòa trên trục Ox, quỹ đạo của chất điểm nằm trong khoảng từ tọa độ -1 cm đến + 7 cm. Thời gian chất điểm đi từ tọa độ + 3 cm đến + 5 cm bằng 1/6 s. Thời điểm ban đầu, t = 0 được chọn lúc chất điểm đi qua vị trí tọa độ + 1 cm theo chiều âm. Phương trình dao động của chất điểm là","Vật đi từ -1 cm đến + 7 cm nên độ dài quĩ đạo L = 8cm = 2A => A = 4cm
Chất điểm đi từ 3 cm đến 5cm: tương đương quay trên đường tròn góc
φ = π/6 => t = T/12 = 1/6 (s) => T = 2 s
ω = 2π/T = π (rad/s)
Lúc t = 0, x = 1 cm theo chiều âm (tương ứng với vị trí x = -A/2). Ta được φ = 2π/3 
Vậy x = 4cos(πt + 2π/3) + 3 cm
",
Chất điểm dao động điều hòa có phương trình vận tốc v = 8πcosπt (cm/s). Gốc tọa độ ở vị trí cân bằng. Mốc thời gian được chọn vào lúc chất điểm có li độ và vận tốc là,"Thay t = 0 vào phương trình v, ta có v = 8π (cm/s)
A = vmax/ω = 8π/π = 8 (cm)
Áp dụng hệ thức độc lập thời gian:
x = ±√(A^2 - v^2/ω^2) = 0",
Một chất điểm dao động điều hòa trên trục Ox có phương trình x = 8cos(πt + π/4) (cm). Gốc tọa độ ở vị trí cân bằng. Gốc thời gian (t = 0) được chọn lúc chất điểm có li độ và vận tốc là,"Tại t = 0 (s): 
cosφ = cos(π/4) = x/A = √2/2 → x = A√2/2 = 4√2 cm
v = - 8πsin (π/4)= - 4π√2 cm/s.",
"Một vật nhỏ dao động điều hòa dọc theo trục Ox (vị trí cân bằng ở O) với biên độ 4 cm và tần số 10 Hz. Tại thời điểm t = 0, vật có li độ 4 cm. Phương trình dao động của vật là","ω = 2πf = 20π rad/s
Tại t = 0, vật có li độ x = A => φ = 0
Vậy phương trình dao động x = 4cos(20πt) ",
"Một chất điểm dao động điều hòa trên trục Ox. Trong thời gian 31,4 s chất điểm thực hiện được 100 dao động toàn phần. Gốc thời gian là lúc chất điểm đi qua vị trí có li độ 2 cm theo chiều âm với tốc độ là 40√3 cm/s. Lấy π = 3,14. Phương trình dao động của chất điểm là","T = 31,4/100 = 0,314 = 0,1π (s)
ω = 2π/T = 20 rad/s
Áp dụng hệ thức độc lập thời gian:
A = √(x^2 + v^2/ω^2) = 4 (cm)
Tại t = 0, cosφ = x/A = 1/2 => φ = ±π/3. Ta chọn φ = π/3 (rad) vì v < 0
Vậy phương trình dao động x = 4cos(20t + π/3) cm
*Lưu ý: φ và v luôn ngược dấu nhau",
"Vật dao động điều hòa với tần số f = 5 Hz. Khi t = 0, vật có li độ x = 4 cm và vân tốc v = 125,6 cm/s. Phương trình dao động của vật là","ω = 2πf = 10π (rad/s)
Áp dụng hệ thức độc lập thời gian:
A = √(x^2 + v^2/ω^2) = 4√2 (cm)
Tại t = 0, cosφ = x/A = 1/√2 => φ = ±π/4. Ta chọn φ = -π/4 vì v > 0
Vậy phương trình dao động x = 4√2cos(10πt - π/4) cm
*Lưu ý: φ và v luôn ngược dấu nhau",
Một chất điểm dao động điều hòa theo phương nằm ngang trên đoạn MN = 4a. Thời gian ngắn nhất để nó đi từ M sang N là 2s. Tại thời điểm ban đầu chất điểm có li độ a theo chiều dương. Phương trình dao động của chất điểm có dạng,"Biên độ A = MN/2 = 4a/2 = 2a
Vật đi từ M tới N là 2 s => T/2 = 2 => T = 4 (s)
ω = 2π/T = 0,5π (rad/s)
Thời điểm ban đầu vật ở vị trí li độ x = a (tương ứng A/2), x = Acos(φ) = A/2
=> cos(φ) = 1/2 => φ = ±π/3 
Vì vật lúc này di chuyển theo chiều (+) nên ta chọn φ = -π/3 (rad)
Vậy phương trình dao động của vật là: x = 2acos(0,5πt - π/3)
*Lưu ý: φ và v ngược dấu nhau",
"Một vật nhỏ dao động điều hòa dọc theo trục Ox với biên độ 5 cm, chu kì 2 s. Tại thời điểm t = 0, vật đi qua cân bằng O theo chiều dương. Phương trình dao động của vật là","Ta có: A = 5cm; ω = 2π/T = π rad/s
Khi t = 0 vật đi qua cân bằng O theo chiều dương:
x = 0 và v > 0 ⇒ cosφ = 0 ⇒ φ = -π/2 (rad)
Vậy phương trình dao động của vật x = 5cos(πt - π/2) cm
*Lưu ý: φ và v ngược dấu nhau",
"Một chất điểm dao động điều hoà dọc theo trục Ox, quanh vị trí cân bằng O. Trong thời gian 20s vật thực hiện được 40 lần dao động. Tại thời điểm ban đầu vật chuyển động qua vị trí cân bằng theo chiều âm của trục toạ độ với vận tốc 20π cm/s. Phương trình dao động của vật là","Ta có khái niệm tần số f là số dao động vật thực hiện được trong 1s. Trong 20 giây vật thực hiện được 40 dao động => f = 40/20 = 2 (Hz) 
ω = 2πf = 4π (rad/s)
Tại thời điểm ban đầu t = 0 có x0 = 0, v0 = 20π cm/s. Vận tốc của vật khi vật chuyển động qua vị trí cân bằng là vận tốc cực đại vmax = ωA suy ra A = 5 cm
Tại thời điểm ban đầu vật chuyển động theo chiều âm của trục toạ độ nên φ = π/2 (rad)
Vậy phương trình dao động của vật x = 5cos(4πt + π/2) cm
*Lưu ý: φ và v ngược dấu nhau",
"Một vật dao động điều hòa với tần số f = 0,5 Hz, biên độ A = 2 cm.Viết phương trình dao động của vật. Chọn gốc thời gian khi vật đi qua vị trí cân bằng theo chiều dương","Phương trình dao động tổng quát là x = Acos(ωt + φ)
ω = 2πf = π (rad/s) 
Tại thời điểm t = 0: x = 0, v > 0 => φ = -π/2 (rad)
Vậy phương trình dao động của vật x = 2cos(πt - π/2) cm
*Lưu ý: φ và v ngược dấu nhau",
"Một chất điểm dao động điều hòa trên trục Ox. Trong thời gian 31,4 s chất điểm thực hiện được 100 dao động toàn phần. Gốc thời gian là lúc chất điểm đi qua vị trí có li độ 2 cm theo chiều âm với tốc độ là 40√3 cm/s. Lấy π = 3,14. Phương trình dao động của chất điểm là","Ta có khái niệm tần số f là số dao động vật thực hiện được trong 1s. Trong 31,4 giây vật thực hiện được 100 dao động => f = 100/31,4 ≈ 10/π (Hz) 
ω = 2πf = 20 (rad/s)
Áp dụng hệ thức độc lập thời gian:
A = √(x^2 +v^2/ω^2) = 4 (cm)
Tại thời điểm ban đầu vật có li độ x = 2 cm (ứng với A/2) và v < 0 nên ta chọn φ = π/3 (rad)
Vậy phương trình dao động của vật x = 4cos(20t + π/3) cm
*Lưu ý: φ và v ngược dấu nhau",
Một vật dao động điều hòa trên đoạn thẳng dài 4 cm với f = 10 Hz. Lúc t = 0 vật qua vị trí cân bằng theo chiều âm của quỹ đạo. Phương trình dao động của vật là,"ω = 2πf = 20π (rad/s)
A = L/2 = 2 (cm)
Khi t = 0 : x0 = 0, v0 < 0 : Chọn φ = π/2 (rad)
Vậy phương trình dao động của vật x = 2cos(20t + π/2) cm
*Lưu ý: φ và v ngược dấu nhau",
Một vật dao động điều hoà dọc theo trục Ox. Lúc vật qua vị trí có li độ x = -√2 cm thì có vận tốc v = -π√2 cm/s và gia tốc a = π^2√2 cm/s2. Chọn gốc toạ độ ở vị trí trên. Phương trình dao động của vật dưới dạng hàm số sin,"Phương trình có dạng: x = Acos(ωt + φ)
Phương trình vận tốc: v = - Aωcos(ωt + φ)
Phương trình gia tốc: a = - Aω2cos(ωt + φ)
Khi t = 0 ; thay các giá trị x, v, a vào 3 phương trình đó ta có:
x = -√2 = A.cosφ
v = -π√2 = -A.ω.sinφ
a = π^2√2 = -ω^2.A.cosφ
Lấy a chia cho x ta được: ω = π rad/s. Lấy v chia cho a ta được :
tanφ = -1 ⇒ φ = 3π/4 (vì cosφ < 0) => A = 2 cm
Vậy phương trình dao động của vật x = 2sin(πt + 3π/4) cm",
"Vật m dao động điều hòa với tần số 0,5 Hz, tại gốc thời gian nó có li độ x(0) = 4 cm, vận tốc v(0) = 12,56 cm/s, lấy π = 3,14. Hãy viết phương trình dao động","ω = 2πf = 2π.0,5 = π (rad/s)
Áp dụng hệ thức độc lập thời gian:
A = √(x^2 + v^2/ω^2) ≈ 4√2 (cm)
Tại t = 0, x = 4 = A√2/2 
=> cosφ = √2/2 => φ = ±π/4 (rad)
Vì v > 0 nên ta chọn φ = -π/4
Vậy phương trình dao động của vật x = 4√2cos(πt - π/4) cm
*Lưu ý: φ và v ngược dấu nhau",
Vật dao động điều hòa với biên độ A = 4 cm và T = 2s. Chọn gốc thời gian là lúc vật qua VTCB theo chiều dương của quỹ đạo. Phương trình dao động của vật là,"ω = 2π/T = π (rad/s)
Tại thời điểm ban đầu: x = 0 => cosφ = 0 => φ = ±π/2
Vì vật chuyển động theo chiều dương (v > 0), nên ta chọn φ = -π/2 (rad)
Vậy phương trình dao động của vật x = 4cos(πt - π/2) cm
*Lưu ý: φ và v ngược dấu nhau",
Một chất điểm dao động điều hòa theo phương trình: x = 20 + 10sin(10πt)cos(10πt). Tính li độ cực đại của chất điểm,"Dùng công thức biến đổi tích thành tổng ta thu được phương trình:
x = 20 + 10.sin(10πt).cos(10πt)
   = 20 + 10.1/2.[sin(10πt - 10πt) + sin(10πt + 10πt)]
   = 20 + 5sin(20πt)
Vậy li độ cực đại của chất điểm là A = 5 cm",
"Một dao động điều hòa với chu kì T. Chọn gốc thời gian là lúc vật qua vị trí cân bằng, vận tốc của vật bằng 0 lần đầu tiên ở thời điểm","Vật có vận tốc bằng 0 khi vật có vị trí  ở một trong hai biên.
Thời gian khi vật di chuyển từ vị trí cân bằng đến vị trí biên lần đầu tiên là T/4",
"Một vật thực hiện dao động điều hòa với biên độ A, tần số góc ω. Chọn gốc thời gian là lúc vật đi qua vị trí cân bằng theo chiều dương. Phương trình dao động của vật là","Phương trình dao động tổng quát là x = Acos(ωt + φ)
Tại thời điểm t = 0: x = 0, v > 0 => φ = -π/2 (rad)
Vậy phương trình dao động của vật x = Acos(ωt - π/2) cm
*Lưu ý: φ và v ngược dấu nhau",
"Một vật nhỏ dao động điều hòa theo trục Ox, chọn gốc tọa độ trùng với vị trí cân bằng của vật. Biết khoảng thời gian giữa hai lần liên tiếp vật đi qua vị trí cân bằng là 1s. Lấy π^2 = 10. Tại thời điểm ban đầu vật có gia tốc a = -0,1 m/s2 và vận tốc v0 = -π√3 cm/s. Phương trình dao động của vật là","Khoảng thời gian giữa hai lần liên tiếp vật đi qua vị trí cân bằng là 1s <=> T/2 = 1 => T = 2 (s)
ω = 2π/T = π (rad/s)
Áp dụng hệ thức độc lập theo thời gian giữa v và a:
v^2/vmax^2 + a^2/amax^2 = 1
<=> v^2/(A.ω)^2 + a^2/(A.ω^2)^2 = 1
Thay ω = π, v = -π√3, a = -10 vào phương trình trên, ta được A = 2 (cm)
vmax = A.ω = 2π (cm/s)
v0 = -π√3 = -vmax√3/2 => x = ±A/2 (rút ra từ hệ thức độc lập thời gian giữa x và v)
=> φ = ±π/3 (rad), vì v < 0 nên ta chọn φ = π/3
Vậy phương trình dao động của vật x = 2cos(πt + π/3) cm
*Lưu ý: φ và v ngược dấu nhau",
Một vật nhỏ dao động điều hòa trên quỹ đạo dài 8 cm. Khi đi qua vị trí cân bằng vận tốc có độ lớn 40π cm/s. Gọi mốc thời gian là lúc vật đi qua vị trí 2√3 theo chiều dương. Phương trình dao động của vật là,"A = L/2 = 8/2 = 4 (cm)
Khi đi qua vị trí cân bằng vận tốc có độ lớn 40π cm/s => v = vmax = A.ω = 40π (cm/s)
ω = vmax/A = 10π (rad/s)
Tại thời điểm ban đầu: x = 4cosφ = 2√3 => cosφ = √3/2 => φ = ±π/6 (rad)
Vì v > 0 nên ta chọn φ = -π/6
Vậy phương trình dao động của vật x = 4cos(10πt - π/6) cm
*Lưu ý: φ và v ngược dấu nhau",
Một vật nhỏ dao động điều hòa với vận tốc ban đầu là 4 m/s và gia tốc là 40√3 m/s2. Khi vật đi qua vị trí cân bằng thì vật có vận tốc là 8 m/s. Phương trình dao động của vật là,"vmax = 8 (m/s)
Áp dụng hệ thức độc lập giữa v và a, ta có:
v^2/vmax^2 + a^2/amax^2 = 1
<=> 4^2/8^2 + (40√3)^2/amax^2 = 1
=> amax = 80 (m/s^2)
ω = amax/vmax = 10 (rad/s)
A = vmax/ω = 0,8 (m)
v0 = 4 = vmax/2 => x0 = ±A√3/2 => φ = ±π/6 (áp dụng hệ thức độc lập thời gian). Vì v0 > 0 nên φ = -π/6 (rad) 
Vậy phương trình dao động của vật x = 0,8cos(10t - π/6) cm
*Lưu ý: φ và v ngược dấu nhau",
"Một chất điểm dao động điều hòa trên trục Ox. Tại mọi thời điểm t li độ và vận tốc của vật luôn thỏa mãn hệ thức 
x^2/25 + v^2/250 = 1. Tại thời điểm t = 2/3 (s) vật đang ở li độ x = 2,5 cm và di chuyển nhanh dần. Lấy π^2 = 10. Phương trình dao động của vật là?","Theo hệ thức độc lập thời gian:
x^2/A^2 + v^2/vmax^2 = 1
Dựa vào hệ thức ở đề bài, ta có:
A = 5 (cm) và vmax = 5π (cm/s)
ω = vmax/A = π (rad/s)
T = 2π/ω = 2 (s)
Tại thời điểm t = 2/3 (s) (t = T/3) vật đang ở li độ x = 2,5 (cm) (x = A/2) và đang di chuyển nhanh dần (tiến tới vị trí cân bằng)
Suy ra ở thời điểm t = 0 (s) (quay ngược lại 120 độ trên vòng tròn lượng giác) vật đang ở vị trí x = 2,5 (cm) và đang di chuyển chậm dần (tiến tới biên) => φ = -π/3
Vậy phương trình dao động là x = 5cos(πt - π/3) cm",
Một vật dao động điều hòa với phương trình x = 20cos(10πt + π/2) cm. Xác định thời điểm đầu tiên vật đi qua vị trí có li độ x = 5 cm theo chiều ngược chiều với chiều dương kể từ thời điểm t = 0.,"Ta có: x = 20cos(10πt + π/2) = 5
=> cos(10πt + π/2) = 0,25 = cos(±0,42π)
Vì v < 0 nên ta chọn nghiệm:
10πt + π/2 = 0,42π + 2kπ => t = - 0,008 + 0,2k; với k є Z.
Nghiệm dương nhỏ nhất trong họ nghiệm này (ứng với k = 1) là t = 0,192 s",
Một vật dao động điều hòa với phương trình x = 4cos(10πt - π/3) cm. Xác định thời điểm gần nhất vận tốc của vật bằng 20π√3 cm/s và đang tăng kể từ lúc t = 0,"Ta có: v = x' = -40πsin(10πt - π/3) = 40πcos(10πt + π/6) = 20π√3 cm/s
Suy ra: cos(10πt + π/6) = √3/2 = cos(±π/6)
Vì v đang tăng nên 10πt + π/6 = -π/6 + 2kπ => t = -1/30 + 0,2k
Với k є Z. Nghiệm dương nhỏ nhất trong họ nghiệm này là t = 1/6 s, ứng với k = 1",
"Một chất điểm dao động điều hòa theo phương trình x = 4cos(2πt/3) (x tính bằng cm; t tính bằng s). Kể từ t = 0, chất điểm đi qua vị trí có li độ x = -2 cm lần thứ 2011 tại thời điểm?","T = 2π/ω = 3 (s)
Ta nhận thấy vật đi qua vị trí có li độ x = -2 cm lần thứ 2011 (n = 2011) nên n lẻ, khi đó ta có: tn = t1 + (n - 1).T/2
*Giải thích: Mỗi chu kì T vật sẽ đi qua vị trí thõa mãn đề bài 2 lần
Với t1 = T/3 = 1 s là khoảng thời gian vật đi từ vị trí đầu tiên (biên dương) đến vị trí x = - 2 cm lần thứ nhất (vì lúc này vật quét được một góc là 120 độ)
Vậy t2011 = 1 + (2011 - 1).3/2 = 3016 (s)",
Một vật dao động điều hòa với phương trình x = 20cos(10πt + π/2) cm. Xác định thời điểm đầu tiên vật đi qua vị trí có li độ x = 5 cm theo chiều ngược chiều với chiều âm kể từ thời điểm t = 0.,"Ta có: x = 20cos(10πt + π/2) = 5
=> cos(10πt + π/2) = 0,25 = cos(±0,42π)
Vì v > 0 nên ta chọn nghiệm:
10πt + π/2 = -0,42π + 2kπ => t = - 0,092 + 0,2k; với k є Z.
Nghiệm dương nhỏ nhất trong họ nghiệm này (ứng với k = 1) là t = 0,108 s",
Một vật dao động điều hòa với phương trình x = 4cos(10πt - π/3) cm. Xác định thời điểm gần nhất vận tốc của vật bằng 20π√3 cm/s và đang giảm kể từ lúc t = 0,"Ta có: v = x' = -40πsin(10πt - π/3) = 40πcos(10πt + π/6) = 20π√3 cm/s
Suy ra: cos(10πt + π/6) = √3/2 = cos(±π/6)
Vì v đang giảm nên 10πt + π/6 = π/6 + 2kπ => t = 0,2k
Với k є Z. Nghiệm dương nhỏ nhất trong họ nghiệm này là t = 0,2 s, ứng với k = 1",
"Một chất điểm dao động điều hòa theo phương trình x = 4cos(2πt/3) (x tính bằng cm; t tính bằng s). Kể từ t = 0, chất điểm đi qua vị trí có li độ x = -2 cm lần thứ 2012 tại thời điểm?","T = 2π/ω = 3 (s)
Ta nhận thấy vật đi qua vị trí có li độ x = -2 cm lần thứ 2012 (n = 2012) nên n chẵn, khi đó ta có: tn = t2 + (n-2).T/2
*Giải thích: Mỗi chu kì T vật sẽ đi qua vị trí thõa mãn đề bài 2 lần
Với t2 = 2T/3 = 2 s là khoảng thời gian vật đi từ vị trí đầu tiên (biên dương) đến vị trí x = - 2 cm lần thứ hai (vì lúc này vật quét được một góc là 240 độ)
Vậy t2012 = 2 + (2012 - 2).3/2 = 3017 (s)",
"Một chất điểm dao động điều hòa theo phương trình x = 6sin(5πt + π/2) (x tính bằng cm; t tính bằng s). Kể từ t = 0, chất điểm đi qua vị trí có li độ x = 3 cm lần thứ 2018 tại thời điểm?","x = 6sin(5πt + π/2) = 6cos(5πt + π/2 -π/2) = 6cos(5πt)
T = 2π/ω = 0,4 (s)
Ta nhận thấy vật đi qua vị trí có li độ x = 3 cm lần thứ 2018 (n = 2018) nên n chẵn, khi đó ta có: tn = t2 + (n-2).T/2
*Giải thích: Mỗi chu kì T vật sẽ đi qua vị trí thõa mãn đề bài 2 lần
Với t2 = 5T/6 = 1/3 s là khoảng thời gian vật đi từ vị trí đầu tiên (biên dương) đến vị trí x = 3 cm lần thứ hai (vì lúc này vật quét được một góc là 300 độ)
Vậy t2018 = 1/3 + (2018 - 2).0,4/2 = 6053/15 (s)",
"Một vật dao động với phương trình x =4cos(2πt - π/6) cm. Thời điểm vật có tốc độ 4π√3 cm/s lần thứ 2020 kể từ lúc dao động là:
","Ta có: v = x' = -8πsin(2πt - π/6) = 8πcos(2πt + π/3) 
T = 2π/ω = 1 (s)
Ta nhận thấy vật đi qua vị trí có tốc độ v = 4π√3 cm/s lần thứ 2020 (n = 2020) nên n chẵn, khi đó ta có: tn = t4 + (n-4).T/4
*Giải thích: Mỗi chu kì T vật sẽ đi qua vị trí thõa mãn đề bài 4 lần
Với t4 =11T/12 = 11/12 s là khoảng thời gian vật đi từ vị trí đầu tiên đến vị trí tốc độ v = 4π√3 cm/s lần thứ tư (vì lúc này vật quét được một góc là 330 độ)
Vậy t2020 = 11/12 + (2020 - 4).1/4 = 6059/12 (s)",
"Một chất điểm dao động điều hòa với chu kì T. Gọi vtb là tốc độ trung bình của chất điểm trong một chu kì, v là tốc độ tức thời của chất điểm. Trong một chu kì, khoảng thời gian mà v ≥ (π/4)vtb là","Vận tốc trung bình trong một chu kì là: vtb = 4Af = 4A.ω/2π = 2.vmax/π
Mà v ≥ π/4.vtb = π/4.2.vmax/π = vmax/2 tương ứng với li độ: -A/2 ≤ x ≤ A/2
Vậy góc quay trong một chu kì mà khoảng thời gian v ≥ (π/4)vtb là:
ωt = 2πt/T = 2π - 2π/3 = 4π/3 => t = 2T/3",
Một vật dao động điều hoà với phương trình x = 8cos2πt cm. Thời điểm thứ nhất vật đi qua vị trí cân bằng là,"T = 2π/ω = 1 (s)
Tại t = 0 (s): x = 0, lúc này vật đang ở vị trí biên dương
Từ vị trí biên dương đến vị trí cân bằng lần thứ nhất mất khoảng thời gian T/4 = 1/4 (s)",
Một vật dao động điều hoà với phương trình x = 4cos(4πt + π/6) cm. Thời điểm thứ 3 vật qua vị trí x = 2 cm theo chiều dương,"T = 2π/ω = 0,5 (s)
Ta nhận thấy vật đi qua vị trí có li độ x = 2 cm lần thứ 3 theo chiều dương (n = 3) nên n lẻ, khi đó ta có: tn = t1 + (n - 1).T
*Giải thích: Mỗi chu kì T vật sẽ đi qua vị trí thõa mãn đề bài 1 lần
Với t1 = 3T/4 = 0,375 s là khoảng thời gian vật đi từ vị trí đầu tiên (x = A√3/2) đến vị trí x = 2 cm lần thứ nhất (vì lúc này vật quét được một góc là 270 độ)
Vậy t3 = 0,375 + (3 - 1).0,5 = 1,375 (s)",
Một vật dao động điều hoà với phương trình x = 4cos(4πt + π/6). Thời điểm thứ 2018 vật qua vị trí x = 2 cm,"T = 2π/ω = 0,5 (s)
Ta nhận thấy vật đi qua vị trí có li độ x = 2 cm lần thứ 2018 (n = 2018) nên n chẵn, khi đó ta có: tn = t2 + (n - 2).T/2
*Giải thích: Mỗi chu kì T vật sẽ đi qua vị trí thõa mãn đề bài 2 lần
Với t1 = 3T/4 = 0,375 s là khoảng thời gian vật đi từ vị trí đầu tiên (x = A√3/2) đến vị trí x = 2 cm lần thứ hai (vì lúc này vật quét được một góc là 270 độ)
Vậy t2018 = 0,375 + (2018 - 2).0,5/2 = 504,375 (s)",
Một vật dao động điều hoà với x = 8cos(2πt - π/6) cm.Thời điểm thứ 2018 vật qua vị trí có v = - 8π cm/s,"Ta có: v = x' = -16πsin(2πt - π/6) = 16πcos(2πt + π/3) 
T = 2π/ω = 1 (s)
Ta nhận thấy vật đi qua vị trí có vận tốc v = -8π cm/s lần thứ 2018 (n = 2018) nên n chẵn, khi đó ta có: tn = t2 + (n-2).T/2
*Giải thích: Mỗi chu kì T vật sẽ đi qua vị trí thõa mãn đề bài 2 lần
Với t2 =T/2 = 0,5 s là khoảng thời gian vật đi từ vị trí đầu tiên đến vị trí tốc độ v = -8π cm/s lần thứ hai (vì lúc này vật quét được một góc là 180 độ)
Vậy t2018 = 0,5 + (2018 - 2).1/2 = 1008,5 (s)",
Vật dao động với phương trình = 5cos(4πt + π/6) cm. Tìm thời điểm vật đi qua vị trí biên dương lần thứ 4 kể từ thời điểm ban đầu,"T = 2π/ω = 0,5 (s)
Ta nhận thấy vật đi qua vị trí biên dương lần thứ 4 (n = 4) nên n chẵn, khi đó ta có: t3 = t1 + 3T
*Giải thích: Mỗi chu kì T vật sẽ đi qua vị trí thõa mãn đề bài 1 lần
Với t1 = 11T/12 = 11/24 s là khoảng thời gian vật đi từ vị trí đầu tiên (x = A√3/2) đến vị trí biên dương lần thứ nhất (vì lúc này vật quét được một góc là 330 độ)
Vậy t4 = 0,375 + 3.0,5 ≈ 1,96 (s)",
Một vật dao động điều hòa có phương trình x = 8cos10πt(cm). Thời điểm vật đi qua vị trí x = 4cm lần thứ 2015 kể từ thời điểm bắt đầu dao động là,"T = 2π/ω = 0,2 (s)
Ta nhận thấy vật đi qua vị trí có li độ x = 4 cm lần thứ 2015 (n = 2015) nên n lẻ, khi đó ta có: tn = t1 + (n - 1).T/2
*Giải thích: Mỗi chu kì T vật sẽ đi qua vị trí thõa mãn đề bài 2 lần
Với t1 = T/6 = 1/30 s là khoảng thời gian vật đi từ vị trí đầu tiên (x = A) đến vị trí x = 4 cm lần thứ nhất (vì lúc này vật quét được một góc là 60 độ)
Vậy t2015 = 1/30 + (2015 - 1).0,2/2 = 6043/30 (s)",
Một vật dao động điều hòa theo phương trình x=10cos(10π.t) (cm).Thời điểm vật đi qua vị trí N có li độ x= 5 cm lần thứ 2015 theo chiều dương là,"T = 2π/ω = 0,2 (s)
Ta nhận thấy vật đi qua vị trí có li độ x = 5 cm lần thứ 2015 theo chiều dương (n = 2015) nên n lẻ, khi đó ta có: tn = t1 + (n - 1).T
*Giải thích: Mỗi chu kì T vật sẽ đi qua vị trí thõa mãn đề bài 1 lần
Với t1 = 5T/6 = 1/6 s là khoảng thời gian vật đi từ vị trí đầu tiên (x = A) đến vị trí x = 5 cm theo chiều dương lần thứ nhất (vì lúc này vật quét được một góc là 300 độ)
Vậy t2015 = 1/6 + (2015 - 1).0,2 ≈ 402,967 (s)",
Một vật dao động điều hòa theo phương trình x=10cos(10π.t) (cm). Thời điểm vật đi qua vị trí N có li độ x=5 cm lần thứ 2009 theo chiều dương là,"T = 2π/ω = 0,2 (s)
Ta nhận thấy vật đi qua vị trí có li độ x = 5 cm lần thứ 2009 theo chiều dương (n = 2009) nên n lẻ, khi đó ta có: tn = t1 + (n - 1).T
*Giải thích: Mỗi chu kì T vật sẽ đi qua vị trí thõa mãn đề bài 1 lần
Với t1 = 5T/6 = 1/6 s là khoảng thời gian vật đi từ vị trí đầu tiên (x = A) đến vị trí x = 5 cm theo chiều dương lần thứ nhất (vì lúc này vật quét được một góc là 300 độ)
Vậy t2009 = 1/6 + (2009 - 1).0,2 ≈ 401,77 (s)",
Một dao động điều hoà với x = 8cos(2πt - π/6). Thời điểm thứ 2014 vật qua vị trí có vận tốc v= - 8π cm/s,"Ta có: v = x' = -16πsin(2πt - π/6) = 16πcos(2πt + π/3) 
T = 2π/ω = 1 (s)
Ta nhận thấy vật đi qua vị trí có vận tốc v = -8π cm/s lần thứ 2014 (n = 2014) nên n chẵn, khi đó ta có: tn = t2 + (n-2).T/2
*Giải thích: Mỗi chu kì T vật sẽ đi qua vị trí thõa mãn đề bài 2 lần
Với t2 =T/2 = 0,5 s là khoảng thời gian vật đi từ vị trí đầu tiên đến vị trí tốc độ v = -8π cm/s lần thứ hai (vì lúc này vật quét được một góc là 180 độ)
Vậy t2014 = 0,5 + (2014 - 2).1/2 = 1006,5 (s)",
